per_plot V2 V3 V4 V5 V6 V7 V8
temp_spectre.50 25500000.5 61 28 4 7 6 2 0
temp_spectre.51 26000000.5 149 42 29 18 6 4 15
temp_spectre.52 26500000.5 150 41 29 12 4 5 15
temp_spectre.53 27000000.5 62 13 7 1 2 7 3
temp_spectre.54 27500000.5 66 13 7 4 12 7 6
temp_spectre.55 28000000.5 68 21 8 5 11 2 4
temp_spectre.56 28500000.5 70 30 9 3 4 1 1
temp_spectre.57 29000000.5 84 32 5 11 10 1 0
temp_spectre.58 29500000.5 93 35 3 15 8 2 0
temp_spectre.59 30000000.5 62 16 6 8 2 2 0
temp_spectre.60 30500000.5 54 11 5 9 3 1 2
temp_spectre.61 31000000.5 80 21 6 11 6 8 4
temp_spectre.62 31500000.5 74 15 6 8 5 10 6
temp_spectre.63 32000000.5 103 26 4 8 5 5 5
temp_spectre.64 32500000.5 118 47 7 6 7 4 1
temp_spectre.65 33000000.5 59 26 8 3 3 2 1
temp_spectre.66 33500000.5 49 12 7 3 4 7 1
temp_spectre.67 34000000.5 50 14 7 9 6 7 0
temp_spectre.68 34500000.5 63 12 15 14 4 4 3
temp_spectre.69 35000000.5 71 14 16 7 8 3 3
temp_spectre.70 35500000.5 74 28 5 5 7 2 1
temp_spectre.71 36000000.5 92 35 10 9 1 4 2
temp_spectre.72 36500000.5 87 25 19 4 1 4 1
temp_spectre.73 37000000.5 67 20 13 2 4 3 0
temp_spectre.74 37500000.5 51 17 5 4 5 2 4
temp_spectre.75 38000000.5 54 14 5 5 3 7 4
temp_spectre.76 38500000.5 63 18 8 6 1 7 4
temp_spectre.77 39000000.5 55 19 5 7 5 1 4
temp_spectre.78 39500000.5 30 7 2 4 7 2 2
temp_spectre.79 40000000.5 217 16 13 10 27 46 71
temp_spectre.80 40500000.5 286 49 18 12 27 46 77
temp_spectre.81 41000000.5 116 47 14 3 2 5 8
temp_spectre.82 41500000.5 96 30 17 6 10 8 0
temp_spectre.83 42000000.5 112 51 12 6 13 5 4
temp_spectre.84 42500000.5 74 40 5 3 4 1 4
temp_spectre.85 43000000.5 61 21 5 4 11 4 0
temp_spectre.86 43500000.5 71 24 4 2 11 4 3
temp_spectre.87 44000000.5 59 17 4 3 6 1 3
temp_spectre.88 44500000.5 50 10 3 5 6 5 0
temp_spectre.89 45000000.5 52 7 4 5 3 10 0
temp_spectre.90 45500000.5 62 9 8 8 10 7 0
temp_spectre.91 46000000.5 63 9 7 6 20 5 0
temp_spectre.92 46500000.5 60 10 7 3 15 7 0
temp_spectre.93 47000000.5 69 12 7 15 9 6 0
temp_spectre.94 47500000.5 91 23 11 16 16 4 4
temp_spectre.95 48000000.5 80 25 14 5 10 6 6
temp_spectre.96 48500000.5 53 16 9 4 1 9 2
temp_spectre.97 49000000.5 70 19 10 7 7 6 2
temp_spectre.98 49500000.5 61 17 8 8 8 2 2
temp_spectre.99 50000000.5 35 9 4 3 11 1 0
temp_spectre.100 50500000.5 47 10 8 5 10 0 1
temp_spectre.101 51000000.5 57 12 8 7 5 8 1
temp_spectre.102 51500000.5 49 8 6 5 8 10 2
temp_spectre.103 52000000.5 36 6 6 4 4 3 2
temp_spectre.104 52500000.5 67 23 13 4 3 7 0
temp_spectre.105 53000000.5 82 33 14 5 8 7 1
temp_spectre.106 53500000.5 65 18 8 6 10 1 1
temp_spectre.107 54000000.5 71 18 4 5 11 0 0
temp_spectre.108 54500000.5 75 29 3 4 8 3 0
temp_spectre.109 55000000.5 77 31 7 5 6 6 7
temp_spectre.110 55500000.5 71 18 9 7 7 6 7
temp_spectre.111 56000000.5 87 32 5 7 4 6 6
temp_spectre.112 56500000.5 93 45 6 5 1 9 7
temp_spectre.113 57000000.5 72 27 9 3 3 8 2
temp_spectre.114 57500000.5 68 33 3 3 5 3 1
temp_spectre.115 58000000.5 57 27 2 4 4 2 0
temp_spectre.116 58500000.5 62 19 7 6 5 5 3
temp_spectre.117 59000000.5 74 26 7 10 3 6 4
temp_spectre.118 59500000.5 65 22 2 7 1 12 1
temp_spectre.119 60000000.5 43 13 0 2 2 11 0
temp_spectre.120 60500000.5 41 11 1 0 1 3 2
temp_spectre.121 61000000.5 72 16 2 3 4 4 6
temp_spectre.122 61500000.5 73 22 5 4 6 4 5
temp_spectre.123 62000000.5 60 31 8 5 3 4 2
temp_spectre.124 62500000.5 44 18 9 4 5 2 1
temp_spectre.125 63000000.5 57 14 12 0 14 1 0
temp_spectre.126 63500000.5 63 19 9 4 10 1 0
temp_spectre.127 64000000.5 27 8 6 4 1 0 0
temp_spectre.128 64500000.5 41 11 16 2 7 0 0
temp_spectre.129 65000000.5 49 15 19 2 7 0 0
temp_spectre.130 65500000.5 35 13 11 1 2 0 0
temp_spectre.131 66000000.5 32 10 6 3 1 0 0
temp_spectre.132 66500000.5 24 6 2 2 0 0 1
temp_spectre.133 67000000.5 52 12 3 2 1 1 2
temp_spectre.134 67500000.5 58 13 5 5 5 2 1
temp_spectre.135 68000000.5 30 7 3 3 4 5 0
temp_spectre.136 68500000.5 23 8 1 0 0 4 2
temp_spectre.137 69000000.5 45 23 0 0 3 2 4
temp_spectre.138 69500000.5 65 29 4 1 4 7 2
temp_spectre.139 70000000.5 69 17 12 13 2 5 0
temp_spectre.140 70500000.5 70 11 13 14 5 0 1
temp_spectre.141 71000000.5 65 16 7 8 7 1 1
temp_spectre.142 71500000.5 65 19 6 11 4 1 4
temp_spectre.143 72000000.5 73 25 16 7 1 1 4
temp_spectre.144 72500000.5 61 23 15 3 1 1 0
temp_spectre.145 73000000.5 48 13 6 3 3 2 5
temp_spectre.146 73500000.5 60 19 6 2 2 3 6
temp_spectre.147 74000000.5 44 14 7 1 0 2 1
temp_spectre.148 74500000.5 40 12 5 2 2 2 1
temp_spectre.149 75000000.5 75 24 9 5 4 1 2
temp_spectre.150 75500000.5 74 24 11 4 3 2 1
temp_spectre.151 76000000.5 44 17 4 0 1 2 0
temp_spectre.152 76500000.5 28 8 6 0 0 0 0
temp_spectre.153 77000000.5 65 26 7 0 0 0 0
temp_spectre.154 77500000.5 73 31 3 0 2 2 0
temp_spectre.155 78000000.5 34 11 3 0 2 4 0
temp_spectre.156 78500000.5 32 8 2 3 1 4 0
temp_spectre.157 79000000.5 16 3 0 3 1 2 0
temp_spectre.158 80000000.5 8 3 0 1 1 0 0
temp_spectre.159 80500000.5 23 5 0 1 3 5 0
temp_spectre.160 81000000.5 33 12 2 0 2 8 0
temp_spectre.161 81500000.5 35 15 3 4 1 4 0
temp_spectre.162 82000000.5 30 9 3 5 1 1 0
temp_spectre.163 82500000.5 39 7 7 2 1 0 12
temp_spectre.164 83000000.5 203 38 43 31 14 3 22
temp_spectre.165 83500000.5 198 40 44 33 13 4 11
temp_spectre.166 84000000.5 33 6 9 3 3 1 4
temp_spectre.167 84500000.5 25 2 5 0 6 0 9
temp_spectre.168 85000000.5 20 1 2 3 3 0 9
temp_spectre.169 85500000.5 14 1 0 3 1 1 4
temp_spectre.170 86000000.5 10 2 0 1 2 1 1
temp_spectre.171 86500000.5 70 16 10 9 9 3 8
temp_spectre.172 87000000.5 74 16 10 11 8 3 9
temp_spectre.173 87500000.5 36 9 0 4 5 2 4
temp_spectre.174 88000000.5 57 16 3 5 5 3 3
temp_spectre.175 88500000.5 57 18 5 4 0 9 8
temp_spectre.176 89000000.5 104 30 13 5 14 27 8
temp_spectre.177 89500000.5 79 22 13 5 14 19 0
temp_spectre.178 90000000.5 47 14 7 3 5 3 2
temp_spectre.179 90500000.5 84 28 11 6 6 3 3
temp_spectre.180 91000000.5 49 18 7 3 1 0 1
temp_spectre.181 91500000.5 84 25 5 3 0 4 10
temp_spectre.182 92000000.5 111 26 7 9 0 5 19
temp_spectre.183 92500000.5 46 5 3 9 0 1 9
temp_spectre.184 93000000.5 16 2 0 3 1 0 0
temp_spectre.185 93500000.5 13 1 2 0 2 0 0
temp_spectre.186 94000000.5 12 1 2 2 1 0 0
temp_spectre.187 94500000.5 18 2 7 3 2 0 0
temp_spectre.188 95000000.5 33 3 10 2 8 0 0
temp_spectre.189 95500000.5 29 2 6 1 6 0 0
temp_spectre.190 96000000.5 26 9 4 1 1 1 1
temp_spectre.191 96500000.5 25 12 1 3 1 1 2
temp_spectre.192 97000000.5 41 18 2 3 1 0 7
temp_spectre.193 97500000.5 47 19 3 1 2 0 9
temp_spectre.194 98000000.5 25 6 1 0 1 1 3
temp_spectre.195 98500000.5 26 5 0 0 0 3 5
temp_spectre.196 99000000.5 98 23 12 9 1 12 14
temp_spectre.197 99500000.5 82 19 12 9 1 10 9
temp_spectre.198 100500000.5 13 7 1 0 0 0 0
temp_spectre.199 101000000.5 64 14 2 11 9 16 3
temp_spectre.200 101500000.5 54 8 1 11 9 16 3
temp_spectre.201 102000000.5 8 3 0 0 1 0 1
temp_spectre.202 102500000.5 10 4 0 0 1 0 1
temp_spectre.203 103000000.5 8 3 0 0 2 0 0
temp_spectre.204 103500000.5 73 26 17 7 10 1 3
temp_spectre.205 104000000.5 80 27 18 7 10 2 3
temp_spectre.206 104500000.5 38 11 3 3 2 2 5
temp_spectre.207 105000000.5 36 11 3 4 0 1 6
temp_spectre.208 105500000.5 18 4 1 1 1 3 4
temp_spectre.209 106000000.5 47 12 3 1 2 11 9
temp_spectre.210 106500000.5 40 11 3 1 1 8 7
temp_spectre.211 107000000.5 35 14 1 1 2 1 7
temp_spectre.212 107500000.5 39 18 1 2 2 1 6
temp_spectre.213 108000000.5 7 5 0 1 0 0 0
temp_spectre.214 108500000.5 17 11 1 2 0 1 0
temp_spectre.215 109000000.5 34 16 1 2 1 2 2
temp_spectre.216 109500000.5 20 5 0 0 3 1 2
temp_spectre.217 110000000.5 14 8 0 0 2 1 0
temp_spectre.218 110500000.5 21 11 0 2 2 2 0
temp_spectre.219 111000000.5 88 23 12 6 8 7 12
temp_spectre.220 111500000.5 154 45 19 7 13 19 18
temp_spectre.221 112000000.5 108 32 8 7 12 18 8
temp_spectre.222 112500000.5 61 21 1 4 6 7 2
temp_spectre.223 113000000.5 55 21 1 6 2 4 0
temp_spectre.224 113500000.5 55 22 3 7 4 3 0
temp_spectre.225 114000000.5 46 23 5 1 3 3 0
temp_spectre.226 114500000.5 38 21 5 2 1 2 0
temp_spectre.227 115000000.5 50 21 2 2 3 2 10
temp_spectre.228 115500000.5 52 16 6 0 3 2 11
temp_spectre.229 116000000.5 48 14 15 3 3 0 2
temp_spectre.230 116500000.5 49 18 16 6 2 0 3
temp_spectre.231 117000000.5 53 20 11 4 2 1 2
temp_spectre.232 117500000.5 97 30 11 3 2 5 5
temp_spectre.233 118000000.5 149 37 21 11 12 7 12
temp_spectre.234 118500000.5 110 22 27 11 15 4 7
temp_spectre.235 119000000.5 53 13 15 4 4 1 1
temp_spectre.236 119500000.5 49 14 5 6 2 0 1
temp_spectre.237 120000000.5 56 14 13 11 2 1 1
temp_spectre.238 120500000.5 70 20 19 8 4 3 3
temp_spectre.239 121000000.5 69 24 11 2 5 3 2
temp_spectre.240 121500000.5 65 20 13 2 4 1 2
temp_spectre.241 122000000.5 66 15 12 11 3 2 3
temp_spectre.242 122500000.5 61 23 2 10 3 4 2
temp_spectre.243 123000000.5 89 31 15 2 4 5 3
temp_spectre.244 123500000.5 131 35 19 13 11 8 2
temp_spectre.245 124000000.5 103 35 6 16 9 11 0
temp_spectre.246 124500000.5 86 26 3 19 6 14 6
temp_spectre.247 125000000.5 108 21 4 25 6 16 15
temp_spectre.248 125500000.5 82 14 4 14 1 9 9
temp_spectre.249 126000000.5 71 34 3 4 1 2 1
temp_spectre.250 126500000.5 72 41 3 1 4 1 3
temp_spectre.251 127000000.5 60 19 7 1 5 4 2
temp_spectre.252 127500000.5 70 21 10 2 2 5 0
temp_spectre.253 128000000.5 66 25 8 2 2 3 0
temp_spectre.254 128500000.5 61 29 6 2 2 4 0
temp_spectre.255 129000000.5 55 26 3 1 3 4 1
temp_spectre.256 129500000.5 39 12 1 1 5 5 1
temp_spectre.257 130000000.5 54 14 10 4 9 4 2
temp_spectre.258 130500000.5 64 20 11 3 7 4 4
temp_spectre.259 131000000.5 71 17 11 10 4 4 4
temp_spectre.260 131500000.5 79 19 10 15 6 6 3
temp_spectre.261 132000000.5 92 34 6 9 5 18 1
temp_spectre.262 132500000.5 75 21 16 5 4 14 1
temp_spectre.263 133000000.5 45 2 13 1 10 2 2
temp_spectre.264 133500000.5 38 5 2 0 18 1 1
temp_spectre.265 134000000.5 66 22 2 1 22 2 2
temp_spectre.266 134500000.5 108 42 4 8 13 6 5
temp_spectre.267 135000000.5 100 37 3 9 2 14 4
temp_spectre.268 135500000.5 158 41 11 9 8 23 11
temp_spectre.269 136000000.5 148 34 11 8 17 17 14
temp_spectre.270 136500000.5 67 16 6 3 12 6 6
temp_spectre.271 137000000.5 67 29 7 4 6 4 2
temp_spectre.272 137500000.5 86 33 3 26 5 2 1
temp_spectre.273 138000000.5 71 21 5 25 3 1 1
temp_spectre.274 138500000.5 51 18 10 2 3 6 1
temp_spectre.275 139000000.5 54 16 9 1 4 9 1
temp_spectre.276 139500000.5 43 9 7 1 4 11 1
temp_spectre.277 140000000.5 39 6 5 6 5 8 1
temp_spectre.278 140500000.5 39 7 5 7 6 1 2
temp_spectre.279 141000000.5 77 18 8 8 5 16 7
temp_spectre.280 141500000.5 92 29 4 8 6 16 8
temp_spectre.281 142000000.5 62 23 5 4 4 1 3
temp_spectre.282 142500000.5 120 22 18 11 3 3 7
temp_spectre.283 143000000.5 133 39 19 10 2 3 8
temp_spectre.284 143500000.5 75 36 7 5 6 4 7
temp_spectre.285 144000000.5 60 18 2 8 9 6 8
temp_spectre.286 144500000.5 47 11 1 4 9 5 2
temp_spectre.287 145000000.5 72 18 4 5 16 8 1
temp_spectre.288 145500000.5 78 21 11 13 10 6 1
temp_spectre.289 146000000.5 67 21 14 9 2 2 0
temp_spectre.290 146500000.5 64 21 15 2 5 2 0
temp_spectre.291 147000000.5 45 10 9 4 3 1 0
temp_spectre.292 147500000.5 69 27 2 5 4 11 0
temp_spectre.293 148000000.5 89 39 6 4 5 14 0
temp_spectre.294 148500000.5 70 28 6 4 2 5 0
temp_spectre.295 149000000.5 61 24 4 4 5 3 0
temp_spectre.296 149500000.5 66 21 11 5 6 2 1
temp_spectre.297 150000000.5 58 14 12 6 3 1 1
temp_spectre.298 150500000.5 66 17 9 13 3 2 1
temp_spectre.299 151000000.5 78 19 9 12 16 4 2
temp_spectre.300 151500000.5 76 20 14 3 17 8 2
temp_spectre.301 152000000.5 73 23 13 1 6 8 2
temp_spectre.302 152500000.5 84 24 14 4 6 5 1
temp_spectre.303 153000000.5 101 32 21 9 4 4 0
temp_spectre.304 153500000.5 72 24 12 6 3 5 0
temp_spectre.305 154000000.5 55 13 6 3 8 5 4
temp_spectre.306 154500000.5 56 14 4 3 7 4 4
temp_spectre.307 155000000.5 75 21 14 2 6 5 0
temp_spectre.308 155500000.5 97 26 21 4 8 7 1
temp_spectre.309 156000000.5 71 19 16 3 3 5 1
temp_spectre.310 156500000.5 83 26 16 2 1 4 0
temp_spectre.311 157000000.5 123 34 20 9 4 12 1
temp_spectre.312 157500000.5 129 32 24 14 10 15 3
temp_spectre.313 158000000.5 108 32 14 15 14 8 3
temp_spectre.314 158500000.5 82 20 11 9 15 6 1
temp_spectre.315 159000000.5 80 20 11 2 14 7 1
temp_spectre.316 159500000.5 101 26 12 8 13 11 2
temp_spectre.317 160000000.5 106 25 15 10 17 10 2
temp_spectre.318 160500000.5 100 21 12 7 15 5 2
temp_spectre.319 161000000.5 112 20 13 10 6 9 3
temp_spectre.320 161500000.5 98 18 13 11 3 15 2
temp_spectre.321 162000000.5 66 8 10 8 5 14 3
temp_spectre.322 162500000.5 69 12 6 10 5 6 4
temp_spectre.323 163000000.5 91 20 10 18 9 4 4
temp_spectre.324 163500000.5 102 24 21 14 10 3 4
temp_spectre.325 164000000.5 98 29 20 9 5 3 3
temp_spectre.326 164500000.5 118 36 13 12 10 16 4
temp_spectre.327 165000000.5 96 29 8 10 14 13 2
temp_spectre.328 165500000.5 76 23 5 9 18 5 1
temp_spectre.329 166000000.5 127 33 10 21 14 14 3
temp_spectre.330 166500000.5 121 29 8 24 9 15 2
temp_spectre.331 167000000.5 105 24 8 12 20 8 3
temp_spectre.332 167500000.5 98 22 15 4 16 7 5
temp_spectre.333 168000000.5 84 17 11 2 6 11 2
temp_spectre.334 168500000.5 76 11 8 5 4 11 2
temp_spectre.335 169000000.5 106 26 10 18 6 11 5
temp_spectre.336 169500000.5 107 35 10 16 10 7 4
temp_spectre.337 170000000.5 40 13 7 3 5 2 1
temp_spectre.338 170500000.5 66 21 6 10 5 3 1
temp_spectre.339 171000000.5 104 29 8 23 10 6 2
temp_spectre.340 171500000.5 51 9 4 18 6 4 1
temp_spectre.341 172000000.5 6 0 0 3 1 0 0
